field.pose.position.x,field.pose.position.y,,,
1.648157239,-3.490777969,,,
1.688020945,-3.497428417,,,
1.650061846,-3.491642237,,,
1.68290031,-3.493950844,,,
1.652347207,-3.492866039,,,
1.683877587,-3.494679213,,,
1.651471853,-3.49178791,,,
1.684025645,-3.49399972,,,
1.649797559,-3.493894339,,,
1.686678886,-3.494416237,,,
1.648751736,-3.492572784,,,
1.681309104,-3.49332428,,,
1.647966981,-3.492064476,,,
1.686473012,-3.496873856,,,
1.655716658,-3.491948605,,,
1.684190035,-3.49429059,,,
1.653698921,-3.491324902,,,
1.68157351,-3.495687246,,,
1.651364565,-3.489358902,,,
1.681520939,-3.496684313,,,
1.649199247,-3.492058039,,,
1.683091164,-3.494864464,,,
1.653653502,-3.491430044,,,
1.682657838,-3.495664597,,,
1.653433323,-3.491678953,,,
1.687351584,-3.496042728,,,
1.653658748,-3.490865707,,,
1.681786776,-3.494892836,,,
1.653260589,-3.491586447,,,
1.683149099,-3.495833874,,,
1.652222157,-3.490715742,,,
1.685105443,-3.494457722,,,
1.65187335,-3.490921736,,,
1.685861588,-3.494492531,,,
1.648850083,-3.492527008,,,
1.685093641,-3.496017218,,,
1.653008819,-3.489500046,,,
1.68522954,-3.497543097,,,
1.651623726,-3.491029978,,,
1.68147862,-3.494699478,,,
1.650387287,-3.491184711,,,
1.68884027,-3.495816469,,,
1.653129101,-3.49126482,,,
1.683033109,-3.496188402,,,
1.652566075,-3.491360426,,,
1.687310576,-3.495292425,,,
1.6528579,-3.490390062,,,
1.680182457,-3.494754553,,,
1.650388479,-3.491641998,,,
1.6851542,-3.496928215,,,
1.655020595,-3.489699125,,,
1.683326006,-3.49471283,,,
1.652351379,-3.490629435,,,
1.685552239,-3.495803595,,,
1.652994037,-3.491675138,,,
1.684847116,-3.496276379,,,
1.653741241,-3.488754511,,,
1.686878085,-3.495453119,,,
1.651276469,-3.494371653,,,
1.684669256,-3.493211508,,,
1.654113412,-3.490840912,,,
1.68852365,-3.495601416,,,
1.651057959,-3.490794897,,,
1.685623527,-3.495018244,,,
1.653755426,-3.491198063,,,
1.683741331,-3.496571064,,,
1.654226661,-3.492372751,,,
1.684801698,-3.496464252,,,
1.654184461,-3.490741968,,,
1.688818932,-3.495746374,,,
1.653193593,-3.491444826,,,
1.681940913,-3.494101763,,,
1.652621388,-3.490277767,,,
1.683039784,-3.495031357,,,
1.649451375,-3.491009235,,,
1.682307839,-3.494453669,,,
1.652343154,-3.492814064,,,
1.684944868,-3.493932486,,,
1.651747346,-3.491926432,,,
1.683476686,-3.495577097,,,
1.653345823,-3.490558624,,,
1.687741637,-3.495952129,,,
1.651886463,-3.49314189,,,
1.683194041,-3.495577812,,,
1.649740696,-3.490086794,,,
1.683227062,-3.498156071,,,
1.651903033,-3.489778996,,,
1.685420394,-3.495757103,,,
1.651162982,-3.493458033,,,
1.687241912,-3.493861675,,,
1.648105502,-3.493225574,,,
1.685434699,-3.496040583,,,
1.652437568,-3.491410494,,,
1.687797785,-3.495997667,,,
1.652481318,-3.492645025,,,
1.683374882,-3.495509863,,,
1.650242567,-3.492103338,,,
1.686980963,-3.495740652,,,
1.651318669,-3.49106431,,,
1.684862018,-3.4945755,,,
1.652704,-3.492646456,,,
1.688626409,-3.495460033,,,
1.652488232,-3.493199825,,,
1.691189408,-3.495361567,,,
1.654023767,-3.491632938,,,
1.687957048,-3.495087147,,,
1.652657032,-3.492792845,,,
1.685552597,-3.494261742,,,
1.650331378,-3.49373126,,,
1.688374758,-3.495041132,,,
1.652477026,-3.492053747,,,
1.68593514,-3.493971825,,,
1.651593089,-3.494873285,,,
1.686542153,-3.493643999,,,
1.650047064,-3.493617773,,,
1.685631514,-3.49272418,,,
1.65021801,-3.495409727,,,
1.682221293,-3.493916035,,,
1.650463104,-3.496085882,,,
1.684174538,-3.491122246,,,
1.64826715,-3.495351791,,,
1.685094833,-3.492581129,,,
1.651174545,-3.494459391,,,
1.681740284,-3.493443966,,,
1.650069714,-3.494724989,,,
1.682421446,-3.492496252,,,
1.648218393,-3.49497962,,,
1.681858301,-3.492898464,,,
1.652112365,-3.493435621,,,
1.683756232,-3.492222548,,,
1.649190307,-3.491325617,,,
1.683227658,-3.493157625,,,
1.650095105,-3.494132519,,,
1.684399724,-3.493558884,,,
1.650625825,-3.494648695,,,
1.683845401,-3.49263382,,,
1.649923682,-3.494288921,,,
1.685134888,-3.493142843,,,
1.651173949,-3.493976355,,,
1.683739662,-3.490382195,,,
1.652282834,-3.493495226,,,
1.686327219,-3.493616819,,,
1.650927424,-3.493547678,,,
1.687363744,-3.49230051,,,
1.651735187,-3.496102095,,,
1.686801434,-3.492097139,,,
1.654129624,-3.493535757,,,
1.684030771,-3.493015766,,,
1.650028586,-3.494190216,,,
1.686924338,-3.492438078,,,
1.654680371,-3.493905783,,,
1.684654832,-3.491812944,,,
1.650120139,-3.492938042,,,
1.688032031,-3.493844032,,,
1.652028322,-3.490659237,,,
1.687166691,-3.494441986,,,
1.647609472,-3.494407415,,,
1.68358469,-3.492703915,,,
1.654885173,-3.494652271,,,
1.685997009,-3.491633654,,,
1.651958704,-3.494089842,,,
1.68223393,-3.493294716,,,
1.653300762,-3.495085478,,,
1.674867392,-3.491520166,,,
1.647845387,-3.495714426,,,
1.679458022,-3.494472742,,,
1.646139026,-3.49303174,,,
1.684137583,-3.49358058,,,
1.649045348,-3.493765354,,,
1.682209373,-3.491243601,,,
1.650244832,-3.493915796,,,
1.684857249,-3.494303942,,,
1.6519171,-3.49352932,,,
1.682934284,-3.493139744,,,
1.647162437,-3.494893789,,,
1.681590796,-3.491489887,,,
1.650708914,-3.495168447,,,
1.684052587,-3.492150068,,,
1.647957921,-3.493487358,,,
1.680783033,-3.493629456,,,
1.650851488,-3.493758917,,,
1.68266058,-3.493578434,,,
1.652111769,-3.494659424,,,
1.683994293,-3.491043568,,,
1.650866747,-3.493210077,,,
1.682758927,-3.491907358,,,
1.650084734,-3.495015144,,,
1.68222332,-3.491607666,,,
1.649838328,-3.496670961,,,
1.681712866,-3.492485285,,,
1.65038085,-3.49277997,,,
1.683153152,-3.494917154,,,
1.653035879,-3.494796753,,,
1.684413075,-3.492218494,,,
1.654121757,-3.496026993,,,
1.683839917,-3.492066145,,,
1.649560332,-3.494323492,,,
1.682095885,-3.493726015,,,
1.651440144,-3.493839741,,,
1.682151079,-3.491233587,,,
1.65361464,-3.496051311,,,
1.683792472,-3.488718271,,,
1.665354252,-3.489123821,,,
1.668456674,-3.510304928,,,
1.680316687,-3.58227849,,,
1.66227603,-3.617325068,,,
1.664568782,-3.670456171,,,
1.672087073,-3.737109661,,,
1.658527374,-3.734488249,,,
1.658543944,-3.790103674,,,
1.669210672,-3.815500975,,,
1.715093136,-3.918428183,,,
1.669808269,-4.0113554,,,
1.709079266,-4.081858158,,,
1.685007691,-4.171975136,,,
1.712528944,-4.227049351,,,
1.679525018,-4.331295967,,,
1.715752959,-4.406690598,,,
1.718804598,-4.492666245,,,
1.735307097,-4.582338333,,,
1.726472855,-4.677686214,,,
1.734982133,-4.762879372,,,
1.728538394,-4.845136166,,,
1.741324902,-4.922648907,,,
1.748906016,-4.995058537,,,
1.777116537,-5.068292141,,,
1.75948441,-5.13457489,,,
1.780377269,-5.235513687,,,
1.795617104,-5.319499016,,,
1.812856197,-5.398812771,,,
1.826328635,-5.465081692,,,
1.831308484,-5.532927036,,,
1.839446545,-5.610740185,,,
1.907012105,-5.602200031,,,
1.93137002,-6.086468697,,,
1.616985202,-6.437420368,,,
1.289734006,-6.544199944,,,
0.981471121,-6.670934677,,,
0.734565973,-7.178632736,,,
4.025688171,-10.03614616,,,
6.275456905,-12.18058968,,,
8.601057053,-14.18651199,,,
10.82525635,-15.4084692,,,
-5.181731701,-15.55102444,,,
-5.199964046,-15.49510956,,,
-5.315000057,-15.45613956,,,
-5.5089674,-15.41338158,,,
-5.801641941,-14.92837334,,,
-6.538729191,-14.6081934,,,
-7.236787796,-14.33370018,,,
-7.965846062,-13.548172,,,
-8.916208267,-12.37236023,,,
-9.750021935,-12.50277042,,,
-10.5471077,-12.63519192,,,
-11.27596092,-12.76613617,,,
-11.93353748,-12.89888096,,,
-12.18488503,-12.99868488,,,
-12.14909363,-13.06998825,,,
-12.0952301,-13.15328312,,,
-11.79753971,-13.21063805,,,
-11.53779316,-13.30536938,,,
-11.21671772,-13.36409092,,,
-10.89224434,-13.44697094,,,
-10.50380516,-13.49876499,,,
-9.959996223,-13.56088257,,,
-9.506856918,-13.60526466,,,
-9.086758614,-13.67520046,,,
-8.743603706,-13.74641514,,,
-8.444534302,-13.82114506,,,
-8.209744453,-13.8871479,,,
-7.969039917,-13.9743681,,,
-7.720927715,-14.03804684,,,
-7.452629566,-14.09848213,,,
-5.823168278,-14.09861279,,,
-4.144712925,-14.09628868,,,
-2.360687017,-14.08670044,,,
0.262406886,-14.03932571,,,
3.611949444,-13.94965553,,,
7.053073883,-13.83911324,,,
10.2198925,-13.75724697,,,
12.87980652,-13.6977129,,,
15.55737877,-13.62925339,,,
18.24143219,-13.60204792,,,
20.81179619,-13.54445648,,,
23.282547,-13.49109745,,,
25.76937675,-13.43782806,,,
28.3129921,-13.38879776,,,
29.89905739,-13.39397049,,,
31.36933136,-13.411026,,,
32.82780457,-13.4234066,,,
34.25931931,-13.43602753,,,
35.6088829,-13.45857334,,,
36.97912598,-13.45975304,,,
38.29953766,-13.47253037,,,
39.50351334,-13.49870777,,,
40.63220596,-13.53150177,,,
41.65718842,-13.54160309,,,
42.72187042,-13.59604263,,,
43.84455872,-13.64010811,,,
44.3345871,-13.70903206,,,
44.24914169,-13.78740978,,,
44.04598618,-13.87560654,,,
43.78333282,-13.96074772,,,
43.51268768,-14.07679749,,,
43.19906998,-14.17813015,,,
42.83108521,-14.29044056,,,
42.45454788,-14.39878559,,,
42.50860596,-14.47506237,,,
42.47531509,-14.56535912,,,
42.52518082,-14.64443302,,,
42.61152267,-14.72437096,,,
42.47856903,-14.82338238,,,
42.31647491,-14.91546154,,,
42.4174614,-15.00452328,,,
42.73610687,-15.05604362,,,
43.0112381,-15.16236115,,,
43.3287468,-15.22400284,,,
43.67969894,-15.30672169,,,
43.95726395,-15.3830204,,,
44.17432785,-15.45211124,,,
44.33241653,-15.53952503,,,
44.46317291,-15.62366295,,,
44.64082336,-15.70275307,,,
44.66888428,-15.76626682,,,
44.64563751,-15.86983871,,,
44.13670731,-15.9838953,,,
43.6105423,-16.1049633,,,
43.11241531,-16.20839882,,,
42.62096405,-16.31951523,,,
42.17781448,-16.42117119,,,
41.73498535,-16.53306007,,,
-8.172540665,-9.789176941,,,
-8.255489349,-9.908385277,,,
-8.12817955,-10.44856071,,,
-7.622156143,-11.02069283,,,
-7.05466032,-11.81661797,,,
-5.91447258,-13.7799902,,,
-4.752489567,-15.66233158,,,
-3.321907997,-18.71194077,,,
-1.870696425,-19.70105934,,,
-0.313592196,-20.6198864,,,
1.224333286,-21.52180099,,,
3.239375114,-22.42939758,,,
4.914578915,-22.42203522,,,
3.914268494,-19.92684555,,,
3.944461823,-19.99661446,,,
3.938029766,-20.08851814,,,
3.903395176,-20.16798973,,,
3.907738686,-20.27275276,,,
3.906514406,-20.37140846,,,
3.901082516,-20.45191765,,,
3.90182209,-20.53635788,,,
3.889573574,-20.60346413,,,
3.8954494,-20.69781494,,,
3.895354748,-20.78332901,,,
3.878957272,-20.88490677,,,
3.870907545,-20.96468163,,,
3.865479469,-21.04293633,,,
3.881031752,-21.13668823,,,
3.865204573,-21.20520973,,,
3.861718416,-21.30173874,,,
3.83740139,-21.38832283,,,
3.828837395,-21.47778702,,,
3.843024731,-21.56484985,,,
3.831422567,-21.65439034,,,
3.829320192,-21.72741699,,,
3.822443724,-21.79099464,,,
3.823092222,-21.90484428,,,
3.807083607,-21.9818325,,,
3.793861866,-22.05716133,,,
3.78932333,-22.13034058,,,
3.77456522,-22.20666885,,,
3.767662287,-22.28624535,,,
3.76666379,-22.3717556,,,
3.768327236,-22.44486618,,,
3.748689651,-22.53382111,,,
3.753855228,-22.62335205,,,
3.721119642,-22.70955086,,,
3.720965862,-22.78227043,,,
3.711882591,-22.87688255,,,
3.702858686,-22.97370529,,,
3.682630062,-23.03766251,,,
3.674021244,-23.12518692,,,
3.6574471,-23.20514679,,,
3.678565264,-23.27389526,,,
3.644803524,-23.3615551,,,
3.625904083,-23.44602013,,,
3.62142086,-23.54330635,,,
3.612565517,-23.62266541,,,
3.59835434,-23.70876884,,,
3.581613779,-23.78887749,,,
3.566441536,-23.8646698,,,
3.550457239,-23.93729401,,,
3.518795967,-23.98465157,,,
3.525270939,-24.06850052,,,
3.47038579,-24.15684891,,,
3.471823931,-24.25053215,,,
3.459012747,-24.28318024,,,
3.440500259,-24.39804649,,,
3.409357071,-24.47128296,,,
3.397522211,-24.54372787,,,
3.392181158,-24.62442398,,,
3.375282049,-24.72404289,,,
3.32439518,-24.8051033,,,
3.304455757,-24.84993172,,,
3.295684814,-24.96460533,,,
3.268789291,-25.02375984,,,
3.255496264,-25.09903526,,,
3.25135231,-25.17878342,,,
3.193917274,-25.24507523,,,
3.195592642,-25.3469162,,,
3.181741476,-25.44473457,,,
3.145776987,-25.53239632,,,
3.11255312,-25.60696793,,,
3.10692358,-25.70310974,,,
3.052081585,-25.78602409,,,
3.036650896,-25.84159279,,,
2.985348225,-25.93054199,,,
2.958576679,-25.99178505,,,
2.953232765,-26.0675869,,,
2.930560589,-26.17869568,,,
2.879604578,-26.21871758,,,
2.852303982,-26.34141922,,,
2.824733973,-26.40324211,,,
2.786675215,-26.47166634,,,
2.75870204,-26.53819847,,,
2.746258736,-26.63336372,,,
2.718540668,-26.71660805,,,
2.657285213,-26.78132057,,,
2.631087542,-26.84422302,,,
2.594078302,-26.91128731,,,
2.560533762,-26.98330879,,,
2.545127392,-27.05949783,,,
2.487754822,-27.13454819,,,
2.486792803,-27.22365761,,,
2.423078775,-27.29630852,,,
2.401121855,-27.37857819,,,
2.353179455,-27.45960426,,,
2.316642523,-27.52551651,,,
2.295371056,-27.59601212,,,
2.224647284,-27.6832428,,,
2.191623688,-27.74625969,,,
2.144124031,-27.83446312,,,
2.139422894,-27.91019821,,,
2.083828211,-27.98025131,,,
2.038440228,-28.05517197,,,
2.01335144,-28.1187458,,,
1.989285588,-28.20044518,,,
1.954353333,-28.2739315,,,
1.886781335,-28.33791924,,,
1.837644935,-28.42133141,,,
1.778081298,-28.49409103,,,
1.753616333,-28.5612278,,,
1.680686355,-28.62248421,,,
1.661406398,-28.69057083,,,
1.612846136,-28.75186157,,,
1.601984024,-28.81915092,,,
1.534752846,-28.88684654,,,
1.460175872,-28.95783615,,,
1.44848752,-29.02946854,,,
1.380130053,-29.09131622,,,
1.37166059,-29.1573658,,,
1.302862167,-29.21875763,,,
1.265873075,-29.28848648,,,
1.213472366,-29.3567276,,,
1.185983062,-29.43698692,,,
1.135021091,-29.49236298,,,
1.106446981,-29.55720901,,,
1.026108146,-29.62257385,,,
0.99706012,-29.67375565,,,
0.969131052,-29.73026657,,,
0.903430104,-29.78284645,,,
0.885278702,-29.85618782,,,
0.834401011,-29.91697693,,,
0.823714256,-29.97562218,,,
0.742640138,-30.02954674,,,
0.694312155,-30.0914669,,,
0.621086299,-30.12748146,,,
0.573434353,-30.19417381,,,
0.509988785,-30.26030922,,,
0.426474392,-30.30644989,,,
0.369443446,-30.35394287,,,
0.307518005,-30.39671707,,,
0.25142011,-30.44825935,,,
0.189594254,-30.49683952,,,
0.123664647,-30.55624199,,,
0.063320249,-30.61445999,,,
0.003147354,-30.67525482,,,
-0.058977276,-30.72245407,,,
-0.118561901,-30.7781105,,,
-0.238960266,-30.88263893,,,
-0.281198382,-30.92820358,,,
-0.37935257,-30.96953201,,,
-0.417260796,-31.02256012,,,
-0.517920494,-31.05120659,,,
-0.542970121,-31.11024094,,,
-0.597476363,-31.15572929,,,
-0.658794045,-31.20332527,,,
-0.728323281,-31.24439049,,,
-0.794172227,-31.28407288,,,
-0.890794575,-31.33645248,,,
-0.940813482,-31.37191963,,,
-0.988255918,-31.40870476,,,
-1.014823318,-31.44976807,,,
-1.11836493,-31.482687,,,
-1.173078775,-31.52470016,,,
-1.216169477,-31.60202789,,,
-1.289480925,-31.64096642,,,
-1.384164929,-31.64456177,,,
-1.429319739,-31.70467567,,,
