field.pose.position.x,field.pose.position.y,,,,
1.422494888,-9.786700249,,,,
1.390231609,-9.791496277,,,,
1.423665762,-9.786362648,,,,
1.39147532,-9.792715073,,,,
1.422603488,-9.784659386,,,,
1.390005827,-9.791000366,,,,
1.42029047,-9.787474632,,,,
1.389347315,-9.79125309,,,,
1.421443939,-9.787662506,,,,
1.39337647,-9.790542603,,,,
1.419933796,-9.785571098,,,,
1.389859676,-9.791617393,,,,
1.418578148,-9.787998199,,,,
1.391915441,-9.791195869,,,,
1.422286749,-9.787527084,,,,
1.389944196,-9.79216671,,,,
1.420961618,-9.78736496,,,,
1.393380046,-9.79135704,,,,
1.422203302,-9.786546707,,,,
1.388040185,-9.791919708,,,,
1.420200348,-9.787360191,,,,
1.38903904,-9.791399002,,,,
1.421494603,-9.78734684,,,,
1.391072989,-9.79426384,,,,
1.422799468,-9.787232399,,,,
1.390340686,-9.791005135,,,,
1.423576236,-9.785646439,,,,
1.39048326,-9.792132378,,,,
1.421511292,-9.786725044,,,,
1.39038682,-9.79241848,,,,
1.421982288,-9.786471367,,,,
1.38870132,-9.792500496,,,,
1.423651338,-9.787651062,,,,
1.393614173,-9.791172028,,,,
1.421872616,-9.785038948,,,,
1.387838244,-9.790996552,,,,
1.421089888,-9.787250519,,,,
1.390110731,-9.790348053,,,,
1.425071239,-9.786795616,,,,
1.391508579,-9.790402412,,,,
1.424713612,-9.786393166,,,,
1.391011477,-9.790654182,,,,
1.422956228,-9.786795616,,,,
1.389896631,-9.793927193,,,,
1.421861053,-9.787345886,,,,
1.393869519,-9.790594101,,,,
1.425138474,-9.787255287,,,,
1.391683578,-9.7943573,,,,
1.421635389,-9.786379814,,,,
1.390334249,-9.791584015,,,,
1.423406124,-9.787857056,,,,
1.390834212,-9.791553497,,,,
1.422307372,-9.786857605,,,,
1.391222835,-9.791151047,,,,
1.424167395,-9.78543663,,,,
1.390492082,-9.792712212,,,,
1.421145439,-9.787135124,,,,
1.391138196,-9.791461945,,,,
1.423744321,-9.786992073,,,,
1.389800906,-9.793545723,,,,
1.423584342,-9.785422325,,,,
1.392198443,-9.791638374,,,,
1.422459126,-9.787805557,,,,
1.387473822,-9.792285919,,,,
1.421842098,-9.786201477,,,,
1.39101553,-9.79366684,,,,
1.421442509,-9.785503387,,,,
1.389609098,-9.793531418,,,,
1.420565009,-9.78699398,,,,
1.391371131,-9.790884018,,,,
1.423444986,-9.785907745,,,,
1.391981959,-9.793413162,,,,
1.420938373,-9.786119461,,,,
1.387443542,-9.792261124,,,,
1.420768738,-9.786121368,,,,
1.387969851,-9.792085648,,,,
1.424246073,-9.786409378,,,,
1.388458371,-9.793765068,,,,
1.422484517,-9.786211014,,,,
1.391693711,-9.791999817,,,,
1.422340155,-9.786340714,,,,
1.389695525,-9.791668892,,,,
1.42602098,-9.787509918,,,,
1.394332409,-9.792726517,,,,
1.423347235,-9.786487579,,,,
1.390449762,-9.791440964,,,,
1.422991514,-9.787075043,,,,
1.389023185,-9.792197227,,,,
1.424072742,-9.786226273,,,,
1.392115355,-9.790529251,,,,
1.422516346,-9.78638649,,,,
1.390417218,-9.792695045,,,,
1.424568295,-9.788340569,,,,
1.390309453,-9.790413857,,,,
1.423784852,-9.787761688,,,,
1.390620232,-9.791132927,,,,
1.424123883,-9.787963867,,,,
1.391953707,-9.792082787,,,,
1.423413038,-9.78745079,,,,
1.388903737,-9.793002129,,,,
1.424133182,-9.78752327,,,,
1.390540123,-9.790913582,,,,
1.421184659,-9.786481857,,,,
1.392332435,-9.793010712,,,,
1.422539234,-9.786124229,,,,
1.390700102,-9.790472984,,,,
1.425166249,-9.787845612,,,,
1.390452623,-9.791381836,,,,
1.421580315,-9.786306381,,,,
1.390562534,-9.792894363,,,,
1.422752976,-9.785306931,,,,
1.389820218,-9.791089058,,,,
1.422870517,-9.787496567,,,,
1.391293645,-9.790859222,,,,
1.423326254,-9.784451485,,,,
1.391098022,-9.793413162,,,,
1.420872927,-9.786846161,,,,
1.388803959,-9.790670395,,,,
1.424906492,-9.786941528,,,,
1.390671253,-9.791985512,,,,
1.421759844,-9.787983894,,,,
1.391173482,-9.79149437,,,,
1.42269659,-9.786711693,,,,
1.387242436,-9.792160988,,,,
1.420219421,-9.786282539,,,,
1.389407873,-9.791898727,,,,
1.423209667,-9.787665367,,,,
1.388995528,-9.792610168,,,,
1.42287147,-9.786664963,,,,
1.389570594,-9.791025162,,,,
1.420845747,-9.787207603,,,,
1.390031576,-9.792419434,,,,
1.422619462,-9.787109375,,,,
1.390365362,-9.790708542,,,,
1.421399951,-9.78618145,,,,
1.38733089,-9.79305172,,,,
1.423393726,-9.789157867,,,,
1.391419768,-9.790091515,,,,
1.422426581,-9.785601616,,,,
1.389895082,-9.7927742,,,,
1.423348069,-9.788466454,,,,
1.394306421,-9.789671898,,,,
1.424564123,-9.78896904,,,,
1.389786363,-9.790826797,,,,
1.423816085,-9.786214828,,,,
1.390215516,-9.791648865,,,,
1.424618363,-9.786691666,,,,
1.387791991,-9.791786194,,,,
1.422851086,-9.78676033,,,,
1.390882015,-9.789653778,,,,
1.424263477,-9.787828445,,,,
1.391595364,-9.791992188,,,,
1.422261834,-9.785987854,,,,
1.39200747,-9.790868759,,,,
1.42021811,-9.787265778,,,,
1.388401628,-9.791481018,,,,
1.423364639,-9.787064552,,,,
1.391475916,-9.791658401,,,,
1.423144698,-9.785515785,,,,
1.389592767,-9.792077065,,,,
1.420817971,-9.787005425,,,,
1.388268709,-9.791685104,,,,
1.423067927,-9.785142899,,,,
1.38994658,-9.792490959,,,,
1.423551559,-9.786417007,,,,
1.38935864,-9.790505409,,,,
1.421938419,-9.786561012,,,,
1.387106657,-9.792342186,,,,
1.418782711,-9.786841393,,,,
1.388468266,-9.791697502,,,,
1.424392343,-9.786716461,,,,
1.388128042,-9.792290688,,,,
1.420556545,-9.786214828,,,,
1.390110374,-9.793022156,,,,
1.422478914,-9.786725044,,,,
1.389444947,-9.792135239,,,,
1.422944665,-9.78718853,,,,
1.388403177,-9.791609764,,,,
1.42571342,-9.786214828,,,,
1.391226768,-9.792147636,,,,
1.421847582,-9.788205147,,,,
1.392351866,-9.790257454,,,,
1.422323585,-9.787363052,,,,
1.389418483,-9.791507721,,,,
1.424665332,-9.787295341,,,,
1.390269518,-9.791358948,,,,
1.420779943,-9.786324501,,,,
1.387441635,-9.791781425,,,,
1.42113483,-9.786527634,,,,
1.390158534,-9.791487694,,,,
1.422411323,-9.78718853,,,,
1.389521956,-9.791627884,,,,
1.424041748,-9.7861166,,,,
1.390283585,-9.790985107,,,,
1.422612071,-9.787936211,,,,
1.391393065,-9.793566704,,,,
1.422460914,-9.787905693,,,,
1.390688539,-9.790056229,,,,
1.426389337,-9.787853241,,,,
1.391235948,-9.791978836,,,,
1.424433947,-9.787137032,,,,
1.389650941,-9.791842461,,,,
1.426564574,-9.786074638,,,,
1.391170621,-9.791578293,,,,
1.42201817,-9.786752701,,,,
1.392301083,-9.79190731,,,,
1.42278111,-9.785874367,,,,
1.39190805,-9.79279995,,,,
1.424292088,-9.787093163,,,,
